time:89.0932897916675, p0:(113.5, 35.5, 99.5), p1:(113.5, 35.5, 64.25), fT:3 
time:89.1432897916675, p0:(113.5, 35.5, 64.25), p1:(113.5, 35.5, 66.25), fT:3 
time:89.1932897916675, p0:(113.5, 35.5, 66.25), p1:(113.5, 35.5, 68.25), fT:2 
time:89.22662312500084, p0:(113.5, 35.5, 68.25), p1:(113.5, 35.5, 71.0), fT:3 
time:89.27662312500084, p0:(113.5, 35.5, 71.0), p1:(113.5, 35.5, 73.0), fT:2 
time:89.30995645833417, p0:(113.5, 35.5, 73.0), p1:(113.5, 35.5, 75.5), fT:3 
time:89.35995645833417, p0:(113.5, 35.5, 75.5), p1:(113.5, 35.5, 77.75), fT:2 
time:89.3932897916675, p0:(113.5, 35.5, 77.75), p1:(113.5, 35.5, 79.75), fT:3 
time:89.4432897916675, p0:(113.5, 35.5, 79.75), p1:(113.5, 35.5, 81.75), fT:2 
time:89.47662312500084, p0:(113.5, 35.5, 81.75), p1:(113.5, 35.5, 84.5), fT:3 
time:89.52662312500084, p0:(113.5, 35.5, 84.5), p1:(113.5, 35.5, 87.0), fT:3 
time:89.57662312500084, p0:(113.5, 35.5, 87.0), p1:(113.5, 35.5, 88.5), fT:2 
time:89.60995645833417, p0:(113.5, 35.5, 88.5), p1:(113.5, 35.5, 90.5), fT:1 
time:89.62662312500083, p0:(113.5, 35.5, 90.5), p1:(113.5, 35.5, 90.5), fT:24 
time:89.62662312500083, p0:(113.5, 35.5, 90.5), p1:(113.5, 35.5, 90.5), fT:24 
time:94.0932897916675, p0:(113.5, 35.5, 94.5), p1:(113.5, 35.5, 67.75), fT:2 
time:94.12662312500083, p0:(113.5, 35.5, 67.75), p1:(113.5, 35.5, 70.0), fT:1 
time:94.1432897916675, p0:(113.5, 35.5, 70.0), p1:(113.5, 35.5, 71.75), fT:1 
time:94.15995645833416, p0:(113.5, 35.5, 71.75), p1:(113.5, 35.5, 73.25), fT:2 
time:94.1932897916675, p0:(113.5, 35.5, 73.25), p1:(113.5, 35.5, 76.5), fT:1 
time:94.20995645833416, p0:(113.5, 35.5, 76.5), p1:(113.5, 35.5, 76.5), fT:30 
time:94.20995645833416, p0:(113.5, 35.5, 76.5), p1:(113.5, 35.5, 76.5), fT:30 
time:95.34328979166756, p0:(113.5, 35.5, 92.5), p1:(113.5, 35.5, 85.5), fT:2 
time:95.37662312500089, p0:(113.5, 35.5, 85.5), p1:(113.5, 35.5, 80.5), fT:2 
time:95.40995645833422, p0:(113.5, 35.5, 80.5), p1:(113.5, 35.5, 76.5), fT:1 
time:95.42662312500089, p0:(113.5, 35.5, 76.5), p1:(113.5, 35.5, 71.5), fT:2 
time:95.45995645833422, p0:(113.5, 35.5, 71.5), p1:(113.5, 35.5, 66.5), fT:2 
time:95.49328979166756, p0:(113.5, 35.5, 66.5), p1:(113.5, 35.5, 64.5), fT:1 
time:95.50995645833423, p0:(113.5, 35.5, 64.5), p1:(113.5, 35.5, 64.5), fT:27 
time:95.50995645833423, p0:(113.5, 35.5, 64.5), p1:(113.5, 35.5, 64.5), fT:27 
time:107.2182897916676, p0:(113.5, 35.5, 85.5), p1:(113.5, 35.5, 76.5), fT:94 
time:108.78495645833426, p0:(113.5, 35.5, 76.5), p1:(113.5, 35.5, 72.25), fT:3 
time:108.83495645833426, p0:(113.5, 35.5, 72.25), p1:(113.5, 35.5, 68.0), fT:2 
